uniq_region,urban,age_s,prev,sens,spec
GN6_Kankan,Urban,-0.08915114601734221,0.29625,0.49725,0.214
GN6_N'Zerekore,Urban,-0.08915114601734221,0.32325,0.5265,0.22025
GN6_Kindia,Rural,-0.08915114601734221,0.58425,0.76275,0.27075
GN6_Mamou,Rural,-0.08915114601734221,0.45875,0.6365,0.2
GN6_Faranah,Rural,-0.08915114601734221,0.761,0.86775,0.46
GN6_Conakry,Rural,-0.08915114601734221,0.08625,0.78625,0.092
GN6_Boke,Rural,-0.08915114601734221,0.2405,0.74375,0.319
GN6_Labe,Rural,-0.08915114601734221,0.347,0.55975,0.17
GN6_Kankan,Rural,-0.08915114601734221,0.585,0.8805,0.57425
GN6_N'Zerekore,Rural,-0.08915114601734221,0.70025,0.8325,0.48325
GN6_Kindia,Urban,0.23338135938827445,0.266,0.3835,0.092
GN6_Mamou,Urban,0.23338135938827445,0.19525,0.3405,0.087
GN6_Faranah,Urban,0.23338135938827445,0.4085,0.59875,0.2415
GN6_Conakry,Urban,0.23338135938827445,0.0255,0.55075,0.014
GN6_Boke,Urban,0.23338135938827445,0.142,0.375,0.09375
GN6_Labe,Urban,0.23338135938827445,0.182,0.28475,0.04825
GN6_Kankan,Urban,0.23338135938827445,0.3065,0.515,0.2185
GN6_N'Zerekore,Urban,0.23338135938827445,0.351,0.56325,0.238
GN6_Kindia,Rural,0.23338135938827445,0.592,0.76575,0.291
GN6_Mamou,Rural,0.23338135938827445,0.46375,0.666,0.22025
GN6_Faranah,Rural,0.23338135938827445,0.77675,0.88675,0.477
GN6_Conakry,Rural,0.23338135938827445,0.10175,0.8135,0.101
GN6_Boke,Rural,0.23338135938827445,0.26575,0.76475,0.35375
GN6_Labe,Rural,0.23338135938827445,0.37525,0.60275,0.17475
GN6_Kankan,Rural,0.23338135938827445,0.58975,0.8765,0.59525
GN6_N'Zerekore,Rural,0.23338135938827445,0.708,0.84875,0.48475
GN6_Kindia,Urban,-1.4437876687209321,0.2065,0.29375,0.07575
GN6_Mamou,Urban,-1.4437876687209321,0.14275,0.25,0.07225
GN6_Faranah,Urban,-1.4437876687209321,0.29475,0.50725,0.19
